url_length,num_dots,has_https,has_ip,keyword_count,num_hyphens,num_slashes,has_at_symbol,path_length,subdomain_depth,label
33,2,1,0,0,1,3,0,6,1,0
90,5,1,0,0,4,5,0,85,4,1
79,4,0,0,1,2,5,0,45,2,1
31,3,1,0,0,1,4,0,13,0,0
47,1,1,0,0,0,1,0,15,0,0
62,2,0,0,0,0,2,0,14,0,0
29,1,1,0,0,0,3,0,9,1,0
48,1,1,0,1,1,0,0,8,0,0
28,2,1,0,0,1,0,0,0,0,0
37,1,1,0,0,0,2,0,22,0,0
50,1,1,0,0,1,2,0,13,1,0
31,3,1,0,0,1,0,0,0,1,0
43,3,1,0,0,2,4,0,4,0,0
27,1,1,0,1,1,4,0,10,1,0
50,4,0,0,1,0,7,0,38,2,1
104,6,0,0,1,0,6,0,51,2,1
24,1,1,0,1,1,0,0,22,0,0
94,3,0,1,0,2,4,0,5,3,1
28,2,1,0,0,2,0,0,11,0,0
44,1,1,0,0,0,1,0,12,1,0
33,1,1,0,0,1,5,0,24,1,0
92,6,0,1,1,1,3,0,38,3,1
39,1,1,0,1,1,6,0,5,0,0
36,1,1,0,0,0,0,0,23,0,0
91,3,1,0,1,4,7,0,22,3,1
62,1,1,0,0,0,1,0,13,0,0
67,5,0,1,2,4,4,0,38,2,1
31,1,1,0,0,2,3,0,2,0,0
58,5,1,1,1,0,4,0,33,1,1
32,2,1,0,0,0,1,0,4,1,0
46,2,1,0,0,1,6,0,20,1,0
61,2,1,0,1,0,1,0,28,0,0
32,4,0,0,2,0,3,0,67,4,1
93,5,0,0,0,2,5,1,51,1,1
56,1,1,0,0,0,0,0,0,0,0
79,3,1,0,1,1,6,0,56,2,1
83,5,0,0,2,2,5,1,51,4,1
104,4,0,1,1,3,5,0,15,3,1
145,6,1,1,1,4,4,0,31,3,1
49,1,1,0,1,1,3,0,13,0,0
123,3,1,0,1,3,9,0,48,1,1
112,5,1,0,1,3,4,0,33,1,1
36,2,1,0,0,1,0,0,12,0,0
56,2,1,0,0,1,1,0,23,0,0
51,3,1,0,0,2,2,0,8,1,0
46,3,0,1,3,1,3,0,42,3,1
131,4,0,0,2,1,7,1,40,1,1
57,3,1,0,0,2,4,0,54,2,1
139,4,1,0,2,0,3,0,53,3,1
85,3,1,0,2,2,7,0,51,2,1
60,4,1,0,2,3,3,0,5,3,1
102,3,1,0,2,2,6,0,73,2,1
30,1,1,0,0,0,2,0,21,1,0
66,3,0,0,3,4,2,0,66,1,1
37,2,1,0,0,1,1,0,13,0,0
96,4,1,0,0,4,7,0,22,3,1
38,2,1,0,0,1,2,0,10,0,0
37,1,1,0,0,0,3,0,0,0,0
37,2,1,0,0,0,2,0,1,1,0
42,4,1,0,2,3,1,1,71,2,1
24,2,1,0,0,1,1,0,31,0,0
65,4,1,0,1,2,9,0,72,2,1
43,3,1,0,1,3,4,0,66,2,1
53,6,1,1,3,3,5,0,61,4,1
22,2,1,0,0,0,4,0,20,1,0
64,3,1,0,0,1,7,0,39,2,1
104,6,1,0,1,1,7,0,44,3,1
43,2,1,0,1,1,0,0,0,1,0
167,4,0,0,2,1,7,0,20,1,1
86,4,1,1,2,2,5,0,28,2,1
26,2,1,0,0,0,1,0,21,1,0
30,1,1,0,0,1,1,0,13,1,0
27,2,1,0,0,0,1,0,14,1,0
50,2,1,0,0,0,5,0,8,1,0
51,1,1,0,0,0,6,0,0,0,0
25,1,1,0,0,0,0,0,4,1,0
38,1,1,0,0,1,1,0,16,1,0
103,5,1,0,2,4,6,0,29,2,1
110,5,1,0,1,2,2,0,53,3,1
113,4,0,0,2,3,1,0,6,3,1
108,4,1,1,3,0,7,0,31,2,1
78,3,1,0,3,3,3,0,19,3,1
78,3,0,0,3,4,6,0,35,3,1
78,1,1,0,0,1,1,0,32,1,0
102,5,0,0,2,1,5,0,23,3,1
65,1,1,0,0,2,4,0,7,1,0
38,3,0,0,0,0,3,0,10,0,0
40,1,1,0,0,2,1,0,19,1,0
30,5,0,0,2,4,3,0,54,2,1
42,6,1,0,3,1,9,1,5,1,1
114,5,1,0,2,2,5,0,70,2,1
33,2,1,0,0,1,1,0,6,1,0
45,2,1,0,1,1,3,0,14,0,0
38,1,1,0,0,1,2,0,16,1,0
37,1,1,0,0,0,3,0,17,0,0
99,6,0,0,0,3,2,0,76,1,1
104,3,1,0,2,4,6,0,50,4,1
97,4,0,1,1,4,7,0,14,1,1
51,1,1,0,0,0,2,0,22,1,0
16,1,1,0,0,0,3,0,8,0,0
30,1,1,0,1,0,1,0,16,0,0
46,1,1,0,0,2,1,0,19,0,0
40,3,0,0,0,0,1,0,4,0,0
51,4,0,0,1,2,4,0,32,1,1
37,2,1,0,0,0,2,0,12,1,0
61,2,1,0,0,0,3,0,13,0,0
62,2,1,0,0,0,5,0,7,1,0
35,2,1,0,0,0,4,0,18,0,0
132,4,0,0,0,2,9,1,37,3,1
35,2,1,0,0,0,6,0,13,1,0
22,2,1,0,0,1,1,0,30,1,0
39,2,1,0,0,1,0,0,21,0,0
93,6,0,0,2,0,3,0,51,2,1
32,3,1,0,0,0,1,0,11,0,0
60,1,1,0,0,1,2,0,8,1,0
82,3,1,0,1,0,6,0,44,4,1
36,1,1,0,0,0,3,0,13,0,0
52,1,1,0,0,0,2,0,15,0,0
30,1,1,0,0,1,4,0,5,0,0
47,1,1,0,0,0,2,0,4,0,0
37,2,1,0,0,0,3,0,14,0,0
54,1,1,0,0,2,2,0,18,1,0
42,6,0,0,1,2,2,0,74,2,1
26,1,1,0,0,2,0,0,18,0,0
19,3,1,0,0,1,2,0,24,1,0
136,6,0,0,2,1,4,0,54,2,1
35,1,1,0,1,0,2,0,11,0,0
72,6,0,0,2,3,7,0,18,1,1
72,3,0,0,2,3,2,0,50,2,1
76,3,1,0,1,4,4,0,20,2,1
73,5,0,0,0,4,11,0,13,3,1
114,5,1,0,2,2,4,0,60,1,1
42,1,1,0,0,1,0,0,27,0,0
37,3,1,0,0,1,1,0,16,0,0
60,5,0,0,0,1,2,0,82,2,1
69,3,0,0,3,0,5,0,61,2,1
58,4,0,0,2,4,6,0,47,3,1
65,6,1,0,1,4,9,0,34,3,1
38,1,1,0,0,0,5,0,9,0,0
72,1,0,0,0,2,2,0,17,1,0
83,3,0,0,2,1,1,0,34,3,1
66,4,0,1,0,2,8,1,47,3,1
30,3,1,1,1,2,2,0,29,3,1
88,3,0,0,3,3,6,1,36,1,1
50,4,1,0,1,1,7,0,48,3,1
115,3,1,0,3,4,8,0,70,1,1
128,5,1,0,3,0,3,1,39,3,1
110,3,0,0,2,2,3,0,56,2,1
148,4,1,0,1,1,4,0,5,4,1
30,5,1,0,1,3,3,0,57,1,1
46,1,0,0,1,2,2,0,15,1,0
57,5,1,0,3,2,5,0,50,2,1
99,4,0,0,3,1,4,0,55,3,1
80,4,0,0,0,1,4,1,33,2,1
38,2,1,0,0,1,4,0,8,1,0
34,1,1,0,0,0,1,0,4,0,0
61,4,0,0,3,1,9,0,34,2,1
99,3,0,1,3,1,2,0,39,2,1
81,6,0,1,2,1,2,0,12,1,1
43,2,1,0,1,0,2,0,19,1,0
25,1,1,0,0,2,2,0,16,0,0
76,5,1,0,1,3,13,0,55,2,1
48,1,1,0,1,0,1,0,26,1,0
39,2,1,0,0,0,3,0,12,0,0
44,2,1,0,0,2,1,0,32,1,0
82,6,1,1,0,4,5,0,41,3,1
45,2,1,0,0,0,0,0,10,1,0
27,2,1,0,0,0,1,0,16,1,0
65,4,1,0,1,2,5,0,68,2,1
34,1,1,0,0,1,4,0,5,0,0
106,4,0,0,2,3,7,0,39,3,1
46,1,1,0,0,0,2,0,12,1,0
30,4,1,1,1,2,6,0,42,3,1
126,5,0,0,2,2,3,1,39,1,1
21,2,1,0,0,0,6,0,22,1,0
67,4,0,1,2,2,6,0,66,1,1
113,5,1,0,0,0,7,0,31,3,1
41,5,0,0,1,1,9,1,20,1,1
35,2,1,0,0,0,3,0,12,0,0
37,1,1,0,0,0,2,0,13,0,0
77,4,0,0,1,3,8,0,97,3,1
50,3,1,0,3,1,3,0,41,1,1
35,1,1,0,0,0,2,0,10,1,0
23,1,1,0,0,0,2,0,3,1,0
44,4,0,1,0,0,7,0,69,4,1
113,5,1,0,0,0,7,0,41,3,1
119,6,0,1,1,2,10,0,61,2,1
54,6,1,0,0,3,4,0,32,2,1
47,1,1,0,0,2,3,0,15,0,0
30,2,1,0,0,0,1,0,8,0,0
26,2,1,0,0,0,0,0,14,1,0
56,4,1,1,2,4,2,0,38,1,1
109,4,0,0,2,0,6,0,52,2,1
53,3,1,0,2,2,2,0,22,2,1
47,2,1,0,0,1,3,0,5,1,0
40,2,1,0,1,0,3,0,38,1,0
36,1,1,0,0,0,1,0,21,0,0
65,3,0,0,2,3,6,0,32,2,1
97,5,1,0,1,2,6,0,54,1,1
57,3,0,1,0,4,4,0,46,2,1
94,3,1,0,3,1,4,0,48,1,1
53,1,1,0,0,0,0,0,2,1,0
43,5,0,0,0,2,7,0,76,2,1
47,4,0,0,0,1,3,0,24,4,1
109,5,1,0,0,1,2,0,54,2,1
42,1,1,0,0,1,1,0,24,1,0
41,1,1,0,0,2,0,0,1,0,0
82,5,1,1,0,1,4,0,37,2,1
71,4,0,0,1,1,10,0,30,3,1
42,1,1,0,0,0,5,0,18,0,0
77,4,0,0,2,3,6,0,34,2,1
46,2,1,0,0,0,6,0,29,0,0
74,4,1,0,1,2,7,0,61,2,1
30,1,1,0,0,0,2,0,11,1,0
81,3,0,0,0,1,1,0,56,2,1
38,1,1,0,1,0,2,0,20,1,0
109,3,0,1,1,0,7,1,84,3,1
27,2,1,0,0,0,1,0,9,0,0
103,6,0,0,1,4,3,0,31,3,1
46,1,1,0,1,1,1,0,8,0,0
51,1,1,0,0,0,4,0,14,1,0
19,1,1,0,0,0,1,0,9,0,0
88,5,0,1,0,2,2,1,51,1,1
107,3,0,0,3,3,10,0,28,3,1
41,1,1,0,0,0,2,0,19,1,0
93,4,1,0,1,3,6,0,7,2,1
81,6,0,0,1,3,8,0,61,3,1
76,4,1,0,1,0,3,0,39,2,1
43,2,1,0,0,0,3,0,7,0,0
32,2,1,0,0,0,2,0,31,1,0
26,2,1,0,0,0,2,0,22,1,0
126,4,0,0,3,2,4,0,10,4,1
25,3,1,0,0,1,0,0,10,0,0
63,4,1,1,2,2,4,1,18,2,1
31,1,1,0,0,0,3,0,13,0,0
90,4,1,0,2,2,5,0,78,4,1
80,4,1,0,1,2,3,0,5,2,1
53,1,1,0,1,0,3,0,23,0,0
30,5,0,0,2,1,7,0,5,2,1
100,5,0,1,1,3,7,0,53,3,1
22,1,1,0,0,0,2,0,6,1,0
34,2,1,0,0,0,1,0,16,1,0
76,4,0,0,1,4,4,0,49,3,1
84,4,1,0,3,0,5,0,75,1,1
46,1,1,0,0,0,2,0,14,1,0
42,1,1,0,1,0,7,0,16,0,0
64,1,1,0,0,0,0,0,0,0,0
43,2,1,0,0,1,3,0,34,0,0
21,2,1,0,0,0,2,0,14,0,0
91,6,0,0,1,2,6,0,32,4,1
117,4,0,0,1,3,9,0,41,2,1
106,4,0,1,2,2,3,0,19,2,1
42,2,1,0,0,0,1,0,9,0,0
35,2,1,0,0,1,0,0,21,0,0
26,1,0,0,0,0,3,0,5,0,0
42,1,1,0,0,1,2,0,28,0,0
75,6,0,0,2,2,6,0,50,2,1
36,1,1,0,0,0,2,0,22,0,0
